Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic_Regression,0.6698113207547169,0.254071661237785,0.6046511627906976,0.3577981651376147,0.6974695690612499
Random_Forest,0.839622641509434,0.40540540540540543,0.11627906976744186,0.18072289156626506,0.6506668391715453
Gradient_Boosting,0.8313679245283019,0.26666666666666666,0.06201550387596899,0.10062893081761007,0.6444243188752681
XGBoost,0.7405660377358491,0.24293785310734464,0.3333333333333333,0.28104575163398693,0.6373731819603022
SVM,0.6733490566037735,0.2375886524822695,0.5193798449612403,0.3260340632603406,0.653275975461181
ANN,0.847877358490566,0.0,0.0,0.0,0.679723129669761
Clinically_Informed_Stacking_Ensemble,0.6757075471698113,0.24475524475524477,0.5426356589147286,0.3373493975903614,0.6786665372880075
