Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic_Regression_SMOTE,0.6698113207547169,0.255663430420712,0.6124031007751938,0.3607305936073059,0.6891138640014662
Random_Forest_SMOTE,0.7712264150943396,0.26618705035971224,0.2868217054263566,0.27611940298507465,0.6483703679744692
Gradient_Boosting_SMOTE,0.7747641509433962,0.2459016393442623,0.23255813953488372,0.23904382470119523,0.6447585470776594
XGBoost_SMOTE,0.7806603773584906,0.272,0.26356589147286824,0.2677165354330709,0.6397343424868734
SVM_SMOTE,0.6698113207547169,0.2084942084942085,0.4186046511627907,0.27835051546391754,0.63423574947979
ANN_SMOTE,0.7087264150943396,0.1569767441860465,0.20930232558139536,0.17940199335548174,0.5561557287792045
